list,100000
Is,137
clinton,137
cole,136
pipelin,134
solv,132
cook,131
rice,130
belong,130
plan,130
perman,130
daren,129
junk,129
penman,129
restructur,129
samantha,129
hart,128
lastli,128
gregori,128
ontario,127
smart,127
stem,127
core,127
advertis,127
just,127
certain,127
valid,127
with,127
univers,127
HI,127
poor,126
yoder,126
booth,126
jame,126
taught,126
india,126
horribl,126
prevail,126
deliber,125
chronicl,125
denni,125
hung,125
found,125
introduc,125
hi,125
manag,125
move,124
produc,124
alter,124
grass,124
gonzal,124
advoc,124
invok,124
resort,124
cycl,124
necessari,124
elsa,124
outright,123
katherin,123
distribut,123
submiss,123
percept,123
your,123
defens,123
campaign,123
taken,122
slightli,122
es,122
prudent,122
farmer,122
vladimir,122
freez,122
commission,122
inspir,122
world,122
torrey,122
factori,122
newspap,121
creativ,121
snow,121
shortli,121
errol,121
eric,121
internship,121
kimberle,121
repeat,121
protocol,121
IV,121
grew,121
registr,121
disregard,121
catherin,121
swift,121
least,121
alarm,121
tara,121
cellular,121
gave,121
martin,121
traffic,120
sight,120
jurisdict,120
dina,120
boot,120
august,120
shelbi,120
MG,120
cst,120
dept,120
ambiti,120
front,120
headquart,120
mayb,120
ad,120
deposit,120
aid,120
jean,120
exact,120
seven,120
popul,120
tax,120
shell,120
bate,120
DJ,120
roughli,120
sponsorship,120
hire,120
modul,120
simpl,120
overse,119
bullish,119
screen,119
pr,119
obstacl,119
withhold,119
wonder,119
detail,119
btu,119
lng,119
citibank,119
bud,119
younger,119
deem,119
mother,119
conni,119
composit,119
argentina,119
possibl,119
tire,119
matrix,119
pressur,119
formal,119
pain,119
portland,119
myer,119
forget,119
manhattan,119
jacki,119
clean,119
orig,119
levi,119
often,119
batch,119
assist,119
partner,119
clearli,119
difficulti,119
disadvantag,118
shot,118
job,118
joseph,118
mexican,118
geoff,118
configur,118
groceri,118
nov,118
citizen,118
carr,118
plaza,118
await,118
larger,118
light,118
kirbi,118
bull,118
strengthen,118
graphic,118
amaz,118
length,118
tank,118
revis,118
almost,118
advis,118
shake,118
martinez,118
paid,118
nerv,118
val,118
smith,118
monthli,118
diego,118
sam,118
daniel,118
kind,118
code,118
IT,118
passeng,118
varianc,118
inevit,118
extend,118
violat,118
steve,117
forthcom,117
complaint,117
overnight,117
amount,117
fund,117
optim,117
quantit,117
pure,117
cynthia,117
ray,117
tobi,117
santa,117
bill,117
asia,117
JV,117
webb,117
gloria,117
kenneth,117
slowli,117
del,117
eva,117
approxim,117
loss,117
accru,117
lot,117
caus,117
crew,117
red,117
steel,117
ate,117
decor,117
laura,117
whose,117
turn,117
auburn,117
fabul,117
convent,117
coo,117
credit,117
unexpect,117
middl,116
succeed,116
telecommun,116
diagram,116
dedic,116
down,116
perri,116
mortgag,116
stay,116
tab,116
coverag,116
better,116
wider,116
unsuccess,116
disciplin,116
display,116
calcul,116
sandwich,116
petroleum,116
lon,116
merci,116
eight,116
suspens,116
grab,116
unavail,116
via,116
updat,116
fast,116
bet,116
angri,116
upward,116
defici,116
elect,116
hunt,116
mara,116
christi,116
taffi,116
chairperson,116
rachel,116
grill,116
perkin,116
paraleg,116
simplifi,116
increas,116
essenti,116
brain,116
miguel,116
thoma,116
chariti,116
delay,116
dori,116
stamp,116
motiv,116
accid,116
men,116
bennett,116
do,116
sharon,116
ought,116
copyright,116
humor,116
laid,115
competitor,115
bernstein,115
assumpt,115
depth,115
flexibl,115
foreign,115
pro,115
rhett,115
encourag,115
sourc,115
alberto,115
salad,115
rare,115
bell,115
disclosur,115
flynn,115
leader,115
love,115
warwick,115
ltd,115
hull,115
conceptu,115
restat,115
capac,115
bland,115
dian,115
told,115
unwind,115
signal,115
wipe,115
jul,115
harvey,115
modern,115
rain,115
elliott,115
Re,115
commerci,115
intervent,115
deficit,115
offens,115
icc,115
decreas,115
capabl,115
dad,115
fuller,115
admit,115
sept,115
clarif,115
view,115
robbi,115
leadership,115
motley,115
bear,115
gareth,115
stack,115
warrant,115
largest,115
float,115
messeng,115
die,115
audit,115
content,115
fell,115
lloyd,115
attn,115
differ,115
cathi,115
plane,114
eugen,114
regret,114
jeremi,114
unaccept,114
blair,114
priorit,114
common,114
origin,114
lead,114
easter,114
excel,114
physic,114
fletch,114
total,114
cooper,114
vast,114
CT,114
faith,114
disappear,114
annoy,114
there,114
CO,114
presum,114
develop,114
appear,114
valuat,114
worri,114
rough,114
requir,114
realiz,114
fill,114
chocol,114
accumul,114
strip,114
vol,114
nelson,114
oscar,114
herod,114
ventur,114
trevino,114
acquir,114
architectur,114
reaction,114
earl,114
meyer,114
provis,114
church,114
mission,114
colleg,114
ceas,114
mcconnel,114
novemb,114
devon,114
williamson,114
inspect,114
carey,114
worth,114
morri,114
